gameId,onBlueTeam,blueWins,blueWardsPlaced,blueWardKills,blueFirstBlood,blueKills,blueDeaths,blueAssists,blueEliteMonsterKills,blueDragonKills,blueHeraldKills,blueTowerKills,blueTotalGold,blueAvgLvl,blueTotalExp,blueTotalMinionsKilled,blueGoldDiff,blueExpDiff,onRedTeam,redWins,redWardsPlaced,redWardKills,redFirstBlood,redKills,redDeaths,redAssists,redEliteMonsterKills,redDragonKills,redHeraldKills,redTowerKills,redTotalGold,redAvgLvl,redTotalExp,redTotalMinionsKilled,redGoldDiff,redExpDiff
3488933243,0,1,17,8,0,8,5,8,0,0,0,1,24495,9.6,30435,310,2990,4453,1,0,27,0,1,5,8,4,3,2,1,0,21505,8.8,25982,296,-2990,-4453
3488835829,1,1,25,5,1,9,3,11,3,2,1,0,21992,8.6,25892,295,871,-1141,0,0,27,5,0,3,9,4,0,0,0,0,21121,9,27033,315,-871,1141
3488803459,0,1,16,7,1,10,5,13,1,1,0,2,26169,8.8,27850,302,6757,6762,1,0,17,2,0,5,10,6,1,1,0,0,19412,7.6,21088,193,-6757,-6762
3488799309,0,0,18,1,1,4,8,2,0,0,0,0,21143,8.8,26332,278,-1112,-2060,1,1,21,2,0,8,4,9,2,2,0,0,22255,9,28392,274,1112,2060
3488773005,0,1,21,10,0,10,9,10,2,1,1,0,22401,8.8,26670,273,-1238,-1210,1,0,27,6,1,9,10,11,0,0,0,0,23639,9,27880,287,1238,1210
3488709559,1,1,23,3,0,13,8,15,1,1,0,0,24860,9,28513,279,2492,2196,0,0,22,1,1,8,13,8,1,1,0,0,22368,8.8,26317,290,-2492,-2196
3488704737,0,1,24,6,0,13,12,10,0,0,0,0,23681,8.6,24442,227,466,212,1,0,24,7,1,12,13,13,1,1,0,0,23215,8.2,24230,237,-466,-212
3488710497,1,0,26,3,1,13,2,14,3,2,1,1,23945,8.8,27423,233,3167,1931,0,1,22,5,0,2,13,5,0,0,0,0,20778,8.6,25492,298,-3167,-1931
3488645450,0,0,20,2,1,9,13,5,0,0,0,2,23006,8.4,25312,283,-2271,-3120,1,1,19,6,0,13,9,14,1,1,0,0,25277,9,28432,303,2271,3120
3487953932,1,1,27,6,1,15,5,18,3,2,1,0,24226,8.8,26341,278,3332,1812,0,0,24,5,0,5,15,4,0,0,0,0,20894,8.4,24529,297,-3332,-1812
3487878273,0,1,19,5,1,8,12,9,1,1,0,1,23433,9,27542,288,-1938,-976,1,0,25,1,0,12,8,18,2,1,1,0,25371,8.8,28518,302,1938,976
3487860926,0,0,20,4,1,15,4,15,2,2,0,2,27899,9.2,30527,336,6733,5241,1,1,26,1,0,4,15,4,0,0,0,0,21166,8.2,25286,263,-6733,-5241
3487776848,1,1,21,6,0,9,7,12,1,1,0,0,25321,9,26983,287,2172,625,0,0,20,2,1,7,9,5,2,1,1,1,23149,8.4,26358,300,-2172,-625
3487773440,1,0,22,4,0,2,12,1,1,0,1,1,19769,8.6,25590,269,-6182,-2065,0,1,24,4,1,12,2,18,2,2,0,1,25951,9.2,27655,296,6182,2065
3487749848,0,0,21,7,0,6,8,6,0,0,0,1,22171,8.4,26519,330,-1999,-735,1,1,28,5,1,8,6,8,3,2,1,1,24170,8.8,27254,274,1999,735
3487744984,1,1,23,3,0,12,11,11,1,1,0,0,24703,9.4,29281,301,803,-359,0,0,16,4,1,11,12,7,0,0,0,0,23900,9.4,29640,286,-803,359
3487732511,1,0,17,4,0,5,13,5,0,0,0,0,20517,8.8,25816,260,-6498,-4360,0,1,19,5,1,13,5,10,3,2,1,1,27015,9.2,30176,315,6498,4360
3487618560,1,1,21,1,1,10,9,8,2,1,1,1,24134,8.8,27336,267,709,44,0,0,20,4,0,9,10,12,1,1,0,0,23425,8.8,27292,268,-709,-44
3483577855,0,0,21,1,0,8,7,2,2,1,1,1,24279,9,29124,361,1506,1109,1,1,16,3,1,7,8,4,0,0,0,0,22773,8.8,28015,269,-1506,-1109
3483571306,1,0,24,8,0,11,6,12,1,1,0,0,22514,9,27929,237,-34,465,0,1,24,7,1,6,11,4,0,0,0,0,22548,9,27464,323,34,-465
3481576904,1,1,21,4,1,20,8,29,2,1,1,0,27617,8.4,25056,233,4623,1759,0,0,22,5,0,8,20,6,1,1,0,1,22994,8.2,23297,239,-4623,-1759
3481496946,1,1,23,4,1,11,11,6,1,0,1,1,24120,8.8,27318,273,-525,-1653,0,0,21,6,0,11,11,9,1,1,0,0,24645,9.2,28971,305,525,1653
3480970788,0,0,21,4,1,11,20,13,0,0,0,0,23951,8.8,27260,265,-6229,-2889,1,1,27,4,0,20,11,18,3,2,1,2,30180,9.4,30149,288,6229,2889
3480608966,1,1,19,8,1,15,3,17,2,1,1,2,28463,9.6,30666,286,7983,5240,0,0,19,4,0,3,15,2,0,0,0,0,20480,8.6,25426,282,-7983,-5240
3480572625,1,1,26,5,0,10,8,13,1,0,1,1,23973,8.8,27139,272,863,-2260,0,0,25,1,1,8,10,6,1,1,0,0,23110,9.2,29399,313,-863,2260
3480497485,0,0,17,3,0,3,10,3,2,1,1,0,22495,8.8,26457,319,-2306,-3492,1,1,24,4,1,10,3,17,1,1,0,1,24801,9.2,29949,314,2306,3492
3480483185,0,0,17,5,0,3,11,4,0,0,0,0,19946,8.2,24175,284,-5585,-4855,1,1,26,1,1,11,3,17,2,2,0,0,25531,9.2,29030,341,5585,4855
3480448010,0,0,20,4,0,4,10,4,0,0,0,0,21478,8.8,27339,321,-4579,-1901,1,1,23,3,1,10,4,7,3,2,1,1,26057,9,29240,305,4579,1901
3480443759,0,1,23,6,1,16,3,16,1,1,0,1,28149,9.8,31176,349,8081,5155,1,0,20,5,0,3,16,1,0,0,0,0,20068,8.6,26021,268,-8081,-5155
3480338376,0,0,21,6,1,4,6,5,1,1,0,0,19521,8.4,24759,252,-2930,-3378,1,1,19,3,0,6,4,5,1,1,0,0,22451,9.2,28137,314,2930,3378
3479613283,0,0,19,5,1,6,15,4,0,0,0,0,22303,8.8,26964,299,-3003,-3171,1,1,18,4,0,15,6,12,2,2,0,1,25306,9.2,30135,256,3003,3171
3479610090,1,1,18,6,1,10,8,13,2,2,0,0,23246,9.2,28278,255,-167,-21,0,0,22,2,0,8,10,7,1,0,1,0,23413,9.2,28299,307,167,21
3479527556,0,1,15,6,0,12,5,11,2,1,1,1,27169,9.4,31031,368,6223,4592,1,0,25,3,1,5,12,3,0,0,0,0,20946,8.8,26439,263,-6223,-4592
3479513882,0,0,22,1,0,3,4,2,1,1,0,0,19921,8.4,25737,281,-1221,-1005,1,1,24,1,1,4,3,4,1,0,1,0,21142,8.8,26742,305,1221,1005
3479469183,1,0,20,1,1,7,6,8,0,0,0,0,22319,9.4,28748,306,-1585,-1722,0,1,21,3,0,6,7,7,2,2,0,0,23904,9.4,30470,374,1585,1722
3479461944,1,0,21,3,0,14,14,12,2,1,1,0,25179,9.2,28382,278,1086,1013,0,1,19,4,1,14,14,12,1,1,0,0,24093,8.8,27369,245,-1086,-1013
